epoch,step,split,loss,accuracy,lr
52,52,val_epoch,0.7923725843429565,0.5,0.001
53,53,train_epoch,3.451295852661133,0.0,0.001
53,53,val_epoch,0.6934874057769775,0.5,0.001
54,54,train_epoch,1.2946960926055908,0.5,0.001
54,54,val_epoch,0.7956124544143677,0.5,0.001
55,55,train_epoch,0.826383113861084,0.0,0.001
55,55,val_epoch,1.1708519458770752,0.5,0.001
56,56,train_epoch,2.097018003463745,0.5,0.001
56,56,val_epoch,0.7244776487350464,0.5,0.001
57,57,train_epoch,4.409073352813721,0.5,0.001
57,57,val_epoch,0.8718574047088623,0.5,0.001
58,58,train_epoch,6.347480297088623,0.5,0.001
58,58,val_epoch,0.6973484754562378,0.5,0.001
59,59,train_epoch,0.7044700980186462,0.5,0.001
59,59,val_epoch,1.485144853591919,0.5,0.001
60,60,train,0.00019095497555099428,1.0,0.001
60,60,train_epoch,0.00019095497555099428,1.0,0.001
60,60,val_epoch,2.813636064529419,0.5,0.001
61,61,train_epoch,0.05779515206813812,1.0,0.001
61,61,val_epoch,3.9073450565338135,0.5,0.001
62,62,train_epoch,5.453746795654297,0.5,0.001
62,62,val_epoch,3.494927167892456,0.5,0.001
63,63,train_epoch,6.292453765869141,0.0,0.001
63,63,val_epoch,2.9328196048736572,0.5,0.001
64,64,train_epoch,3.35274338722229,0.5,0.001
64,64,val_epoch,1.1512207984924316,0.5,0.001
65,65,train_epoch,1.3411624431610107,0.5,0.001
65,65,val_epoch,1.3840761184692383,0.5,0.001
66,66,train_epoch,0.2071022391319275,1.0,0.001
66,66,val_epoch,3.297132730484009,0.5,0.001
67,67,train_epoch,3.395314931869507,0.5,0.001
67,67,val_epoch,3.758309841156006,0.5,0.001
68,68,train_epoch,7.183309078216553,0.5,0.001
68,68,val_epoch,2.697129726409912,0.5,0.001
69,69,train_epoch,3.0280394554138184,0.5,0.001
69,69,val_epoch,0.8634339570999146,0.5,0.001
70,70,train_epoch,1.2974215745925903,0.0,0.001
70,70,val_epoch,1.6153149604797363,0.5,0.001
71,71,train_epoch,3.387838840484619,0.0,0.001
71,71,val_epoch,3.304513454437256,0.5,0.001
72,72,train_epoch,1.5525211095809937,0.5,0.001
72,72,val_epoch,3.35886812210083,0.5,0.001
73,73,train_epoch,4.15907621383667,0.5,0.001
73,73,val_epoch,1.9029159545898438,0.5,0.001
74,74,train_epoch,3.297028064727783,0.5,0.001
74,74,val_epoch,1.0145782232284546,0.5,0.001
75,75,train_epoch,3.7834537029266357,0.5,0.001
75,75,val_epoch,1.8044121265411377,0.5,0.001
76,76,train_epoch,2.064298152923584,0.5,0.001
76,76,val_epoch,1.356349229812622,0.5,0.001
77,77,train_epoch,1.5143320560455322,0.5,0.001
77,77,val_epoch,0.78865647315979,0.5,0.001
78,78,train_epoch,0.03579695522785187,1.0,0.001
78,78,val_epoch,2.0560591220855713,0.5,0.001
79,79,train_epoch,0.7949913740158081,0.5,0.001
79,79,val_epoch,2.264345645904541,0.5,0.001
80,80,train,1.9696522951126099,0.5,0.001
80,80,train_epoch,1.9696522951126099,0.5,0.001
80,80,val_epoch,1.2783586978912354,0.5,0.001
81,81,train_epoch,4.365091323852539,0.5,0.001
81,81,val_epoch,1.0585780143737793,0.5,0.001
82,82,train_epoch,1.068997859954834,0.5,0.001
82,82,val_epoch,2.1297082901000977,0.5,0.001
83,83,train_epoch,1.229699730873108,0.5,0.001
83,83,val_epoch,1.9380152225494385,0.5,0.001
84,84,train_epoch,0.3474121391773224,0.5,0.001
84,84,val_epoch,1.090254783630371,0.5,0.001
85,85,train_epoch,1.2922985553741455,0.5,0.001
85,85,val_epoch,1.4338786602020264,0.5,0.001
86,86,train_epoch,2.354689598083496,0.5,0.001
86,86,val_epoch,2.102017402648926,0.5,0.001
87,87,train_epoch,4.094717502593994,0.5,0.001
87,87,val_epoch,1.3460254669189453,0.5,0.001
88,88,train_epoch,0.37463152408599854,1.0,0.001
88,88,val_epoch,1.0324064493179321,0.5,0.001
89,89,train_epoch,3.5145859718322754,0.5,0.001
89,89,val_epoch,0.9889938831329346,0.5,0.001
90,90,train_epoch,2.3078243732452393,0.5,0.001
90,90,val_epoch,1.0913000106811523,0.5,0.001
91,91,train_epoch,0.973332405090332,0.5,0.001
91,91,val_epoch,0.9302817583084106,0.5,0.001
92,92,train_epoch,1.4966105222702026,0.5,0.001
92,92,val_epoch,0.924140214920044,0.5,0.001
93,93,train_epoch,0.5796360969543457,1.0,0.001
93,93,val_epoch,2.1193697452545166,0.5,0.001
94,94,train_epoch,1.0502272844314575,0.5,0.001
94,94,val_epoch,2.337839365005493,0.5,0.001
95,95,train_epoch,1.0777450799942017,0.5,0.001
95,95,val_epoch,1.4177682399749756,0.5,0.001
96,96,train_epoch,1.6370331048965454,0.5,0.001
96,96,val_epoch,0.9740091562271118,0.5,0.001
97,97,train_epoch,1.3681749105453491,0.0,0.001
97,97,val_epoch,2.478975296020508,0.5,0.001
98,98,train_epoch,1.1014659404754639,0.5,0.001
98,98,val_epoch,2.645780563354492,0.5,0.001
99,99,train_epoch,3.060288906097412,0.5,0.001
99,99,val_epoch,1.3797757625579834,0.5,0.001
100,100,train,1.9255012273788452,0.0,0.001
100,100,train_epoch,1.9255012273788452,0.0,0.001
100,100,val_epoch,0.7628897428512573,0.5,0.001
